Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,500
1,0,1,185,500
2,0,1,363,500
3,0,0,500,500
4,0,0,500,500
5,0,0,500,500
6,0,0,500,500
7,0,0,500,500
8,0,0,500,500
9,0,0,500,500
10,0,0,500,500
11,0,0,500,500
12,0,0,500,500
13,0,0,500,500
14,0,0,500,500
15,0,0,500,500
16,0,0,500,500
17,0,0,500,500
18,0,0,500,500
19,0,0,500,500
20,0,0,500,500
21,0,0,500,500
22,0,0,500,500
23,0,0,500,500
24,0,0,500,500
25,0,0,500,500
26,0,0,500,500
27,0,0,500,500
28,0,0,500,500
29,0,0,500,500
30,0,0,500,500
31,0,0,500,500
